,code,score,ra,dec,einstein_radius,F115W_lens_magnitude_ab,F150W_lens_magnitude_ab,F277W_lens_magnitude_ab,F444W_lens_magnitude_ab,F115W_lensed_source_magnitude_ab,F150W_lensed_source_magnitude_ab,F277W_lensed_source_magnitude_ab,F444W_lensed_source_magnitude_ab,F115W_source_magnitude_ab,F150W_source_magnitude_ab,F277W_source_magnitude_ab,F444W_source_magnitude_ab,F115W_magnification,F150W_magnification,F277W_magnification,F444W_magnification
0,COSJ100121+022740,M24,150.3413630196744,2.46129705298787,0.8601918500982466,18.050724381869905,17.680151482524884,15.885438186291942,16.727561845373224,22.0586113289951,21.783505207097285,21.74070789765692,21.83975106029041,25.321823278297433,24.60976210059779,22.973769822765433,22.246669876919725,3.1109295508837382,3.3924122837364523,4.486904064121726,5.253318967982106
1,COSJ100119+014849,M24,150.33052581051132,1.8136161881152442,1.135041038746596,22.675377189598706,21.744796082875943,19.173189812576645,18.71769684621413,21.556924312959055,21.1234324006817,19.801236386466286,19.64069005301304,23.22798237198254,22.028644201405935,19.46581464676156,19.404120462263798,1.7652505927541808,1.852537320376144,1.8749188836547401,1.8558497589931142
2,COSJ100047+015023,M24,150.19858409162038,1.8397845591054762,1.6158323882194392,18.7690792626873,18.2779997628965,16.081552359510113,16.29298779852026,21.741700527932064,21.339659801511367,20.40068532298682,20.82859599602054,24.215192125728112,24.200456342584765,20.923039050718,21.78247181009341,3.8684646749535254,2.862108253205468,3.742646891840616,4.213074794045232
3,COSJ100028+021928,M24,150.1190671708019,2.324503233664766,0.6602664887136099,19.235756719680108,18.682864493784813,16.2769540604181,16.880044455879883,20.958933066770726,20.532760171965013,20.126501885279826,20.201927385661868,22.211644948121247,21.871814389908618,20.125117690073846,20.372868037196888,3.5304236368572885,3.291756927378429,3.750308348861776,3.8707988110481653
4,COSJ100025+015245,M24,150.10670790017426,1.8792871027321225,0.5345366264781819,22.665548756716774,22.18079340370503,19.23406711756669,18.777769856702335,23.1428626783484,22.43274982979873,21.899578929205017,21.478725922442024,24.260913277796735,23.246942981874795,21.150627215894804,20.21581061823803,2.6316325860180965,3.121822748520792,4.494474097514255,4.517083193589365
5,COSJ100024+021749,M24,150.10008884771986,2.2971327568143396,0.7326885749036172,18.631248474864613,18.247566848109386,16.526197954276853,17.210824943962486,22.088738169591906,21.60956678979896,21.422073435417786,21.09176393440277,24.386568381058737,23.9869615842471,21.980688321446916,21.029358912217532,3.7083165444141506,3.342739164842769,3.3722877625165637,4.437623400494099
6,COSJ100024+015334,M24,150.1004672146689,1.8930293176894097,0.770812218310262,22.676895930463324,21.557897479423126,18.64062590722771,18.049161988202364,23.057599625244325,22.54921872139807,21.63305106889073,21.128701095240036,24.543427280770345,23.62575848872223,22.034273888625222,20.568032059116682,6.220514548166991,5.391441075740718,7.109643335100106,6.978169505797993
7,COSJ100018+022138,M24,150.07693452226474,2.3607571280031108,0.3832509558574795,22.229546618869257,21.558157205697967,18.8876025845736,18.470735891945104,22.91192879291402,22.635017715262165,22.158350247329544,22.21021837561052,22.38171467481702,22.591653439236588,21.307691382502956,21.481994189073223,3.504874310444547,5.114164030532216,5.693752997162179,4.362603674436667
8,COSJ100013+023424,M24,150.05577532775754,2.573347011778415,1.4549594047352,19.93383519863788,19.41571241510414,17.023419835515387,17.480154814083107,42.04968330101718,23.08392181163141,21.562597796080173,21.261654491856167,45.347370485805406,26.85941178370609,22.187325678416318,21.597776298273686,3.73427414589726,3.908130377501423,4.4079580219099865,4.803478826387853
9,COSJ100012+022015,M24,150.05258822687836,2.3377064685593014,0.7477080114393634,17.60530988783235,17.358268936378646,15.540087858715776,16.285704522571763,21.420833456293472,21.316316323290405,21.344163205599493,22.284385234903148,23.051392212030144,22.993660975140678,22.33046354545836,23.12608464181152,2.3342811036538835,2.972149112428202,2.615381945864729,2.788463855414522
